Rgt,Lu,Ld,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Hedge,Rstep,start_x,file name,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,kedge,logkedge,Re,Bstep_modified
1.314718968,4,2,0.29,0.805555556,0.36,1.5,375,0.273822778,1.095291111,0.30102037,1.09932553,0.112452886,2.63,27_V_1.5_q_375,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.145703677,-477.8919485,477.8919485,13.64303372,1.619111214,0.8,1.814551287,127.901347,208.3333333,0.613926466,349.9906015,0.04834725,-1.315628226,0.017778685,2.95625
0.925782618,4,2,0.29,0.805555556,0.36,1,350,0.388860185,1.111029101,0.395068519,1.015965464,0.080592784,1.635,ev21_V_1_q_350,46.3,0.093,5.56,2.42,low,0.7,1.8,0.569637023,0.126586005,1.31,0.075,-0.368980186,-744.6055036,744.6055036,28.23393186,1.619111214,0.8,1.366171957,79.95397727,208.3333333,0.383779091,664.6515264,0.017854091,-1.748262251,0.01490407,4.31875
0.792280995,4,2,0.29,0.805555556,0.36,0.7,300,0.454384243,1.060229901,0.470728649,1.035970449,0.085652072,0.965,14_V_0.7_q_300,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.40004463,-702.5160663,702.5160663,34.19264944,1.619111214,0.8,1.064324341,59.76523943,208.3333333,0.286873149,642.7508269,0.004558759,-2.341153337,0.010953732,2.86875
0.95055453,4,2,0.29,0.805555556,0.36,0.7,250,0.3787263,1.06043364,0.390238714,1.030397715,0.077847133,1.485,11_V_0.7_q_250,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.361672019,-558.1483668,558.1483668,27.16602845,1.619111214,0.8,1.064324341,69.13960623,208.3333333,0.33187011,489.0087606,0.003425791,-2.465239198,0.009129864,4.44375
1.304098918,4,2,0.29,0.805555556,0.36,2,500,0.276052679,1.104210714,0.298579286,1.081602567,0.118477544,2.685,ev38_V_2_q_500,92.6,0.185,5.56,2.42,low,0.7,1.8,0.462689037,0.205639572,1.31,0.075,-0.158014148,-600.6249922,600.6249922,14.01933853,1.619111214,0.8,2.219352892,145.3322331,208.3333333,0.697594719,455.292759,0.055056949,-1.259187861,0.026052078,3.49375
1.049935495,4,2,0.29,0.805555556,0.36,0.7,225,0.342878207,1.066732199,0.352570862,1.028268508,0.075690553,1.73,10_V_0.7_q_225,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.323112539,-468.2653273,468.2653273,22.79126834,1.619111214,0.8,1.064324341,74.86440334,208.3333333,0.359349136,393.4009239,0.003848629,-2.414693914,0.008265683,3.6
1.635392451,4,2,0.29,0.805555556,0.36,0.5,100,0.220130648,1.100653241,0.260042222,1.181308575,0.092686589,3.015,v1_V_0.5_q_100,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,0.536760475,-85.56073482,85.56073482,5.27036415,1.619111214,0.8,0.840977486,91.21153843,208.3333333,0.437815384,-5.65080361,0.021385525,-1.669880081,0.003426517,4.429166667
1.231500009,4,2,0.29,0.805555556,0.36,1.5,400,0.292326429,1.096224107,0.313415,1.072140489,0.106688478,2.515,28_V_1.5_q_400,69.4,0.139,5.56,2.42,low,0.7,1.8,0.504504058,0.168168019,1.31,0.075,-0.226294951,-580.8588662,580.8588662,16.58257086,1.619111214,0.8,1.814551287,121.3825651,208.3333333,0.582636312,459.4763011,0.058611401,-1.232017898,0.018980084,3.091666667
1.083476896,4,2,0.29,0.805555556,0.36,0.5,150,0.332263661,1.107545536,0.359889464,1.083144222,0.085086725,2.115,v3_V_0.5_q_150,23.1,0.046,5.56,2.42,low,0.7,1.8,0.701760487,0.077973387,1.31,0.075,-0.309661248,-351.0015444,351.0015444,21.62096855,1.619111214,0.8,0.840977486,65.61572227,208.3333333,0.314955467,285.3858222,0.020207228,-1.694493258,0.005171961,3.4875
0.865279149,4,2,0.29,0.805555556,0.36,0.7,275,0.416050705,1.059038157,0.427387727,1.027249137,0.078058294,1.205,12_V_0.7_q_275,32.4,0.065,5.56,2.42,low,0.7,1.8,0.634028824,0.098626706,1.31,0.075,-0.385146668,-636.8294516,636.8294516,30.9955704,1.619111214,0.8,1.064324341,64.13133255,208.3333333,0.307830396,572.698119,0.015898974,-1.798630907,0.010029635,3.364583333
